CAMPAÑA;GM;REGION;SUBREGION;LOCALIDAD;CódECR;FECHA DE SIEMBRA;Emergencia;COSECHA;TRAT;VARIEDAD;CAT;RENDIMIENTO;Sig;IM;IT;Alt;Vuelco;P1000
2024/25;IIIc;II;3;BERROTARÁN;25BER3c1;3/12/2024;10/12/2024;26/4/2025;3;NEO 35S23 SE;;3575;a;105,2;109,7;70;;
2024/25;IIIc;II;3;BERROTARÁN;25BER3c1;3/12/2024;10/12/2024;26/4/2025;8;BIO 3.22 STS;;3555;a;104,6;109,1;60;;
2024/25;IIIc;II;3;BERROTARÁN;25BER3c1;3/12/2024;10/12/2024;26/4/2025;4;STINE 31EC21;;3550;a;104,5;108,9;65;;
2024/25;IIIc;II;3;BERROTARÁN;25BER3c1;3/12/2024;10/12/2024;26/4/2025;6;NS 3220 STS;;3547;a;104,4;108,8;60;;
2024/25;IIIc;II;3;BERROTARÁN;25BER3c1;3/12/2024;10/12/2024;26/4/2025;7;BRV3324SE;;3423;a;100,8;105;65;;
2024/25;IIIc;II;3;BERROTARÁN;25BER3c1;3/12/2024;10/12/2024;26/4/2025;9;LG 3602 STS;T;3259;a;95,9;100;78;;
2024/25;IIIc;II;3;BERROTARÁN;25BER3c1;3/12/2024;10/12/2024;26/4/2025;5;STINE 33EA52 STS;;3212;a;94,6;98,6;65;;
2024/25;IIIc;II;3;BERROTARÁN;25BER3c1;3/12/2024;10/12/2024;26/4/2025;2;DM 33R22;;2871;;84,5;88,1;68;;
2024/25;IIIc;II;3;BERROTARÁN;25BER3c1;3/12/2024;10/12/2024;26/4/2025;1;DM 33E22 SE;;3584;+;105,5;110;60;;
2024/25;IIIc;II;3;Cte Granville;25GRA3c1;29/11/2024;6/12/2024;8/4/2025;3;NEO 35S23 SE;;2639;a;117,4;120,5;50;;130
2024/25;IIIc;II;3;Cte Granville;25GRA3c1;29/11/2024;6/12/2024;8/4/2025;6;NS 3220 STS;;1886;;83,9;86,1;44;;160
2024/25;IIIc;II;3;Cte Granville;25GRA3c1;29/11/2024;6/12/2024;8/4/2025;1;DM 33E22 SE;;1919;;85,4;87,7;44;;180
2024/25;IIIc;II;3;Cte Granville;25GRA3c1;29/11/2024;6/12/2024;8/4/2025;2;DM 33R22;;2047;;91,1;93,5;44;;146
2024/25;IIIc;II;3;Cte Granville;25GRA3c1;29/11/2024;6/12/2024;8/4/2025;5;STINE 33EA52 STS;;2110;;93,9;96,4;43;;160
2024/25;IIIc;II;3;Cte Granville;25GRA3c1;29/11/2024;6/12/2024;8/4/2025;9;LG 3602 STS;T;2190;;97,4;100;45;;156,6666667
2024/25;IIIc;II;3;Cte Granville;25GRA3c1;29/11/2024;6/12/2024;8/4/2025;7;BRV3324SE;;2307;a;102,7;105,4;44;;179
2024/25;IIIc;II;3;Cte Granville;25GRA3c1;29/11/2024;6/12/2024;8/4/2025;8;BIO 3.22 STS;;2825;+;125,7;129;44;;146,6666667
